"price","year","manufacturer","make","fuel","miles","title_status","transmission","drive","type","paint_color"
10695,2004,"porsche","cayenne","gas",5090000,"clean","manual","rwd","compact","black"
2590,2010,"mini","cooper","gas",190000,"clean","manual","rwd","compact","black"
3108,2001,"ford","galaxy","gas",1284000,"clean","manual","4wd","compact","black"
4807,2006,"nissan","terrano-ii","diesel",216000,"clean","manual","fwd","compact","black"
4774,1910,"opel","astra","gas",221804,"rebuilt","manual","fwd","compact","black"
2775,2004,"skoda","fabia","gas",148552,"rebuilt","manual","fwd","compact","black"
4404,2005,"opel","astra","gas",100,"clean","manual","rwd","compact","black"
921,2013,"skoda","octavia","diesel",97500,"clean","manual","4wd","compact","black"
1702,2004,"ford","ka","gas",60000,"clean","manual","4wd","compact","black"
7735,2011,"ford","transit","diesel",108000,"clean","manual","rwd","compact","black"
5810,2008,"skoda","octavia","gas",234500,"clean","manual","rwd","compact","black"
5144,2006,"skoda","octavia","gas",100,"rebuilt","manual","fwd","compact","black"
8878,2009,"ford","mondeo","gas",84000,"clean","manual","rwd","compact","black"
3886,2009,"ford","fusion","gas",100,"clean","manual","4wd","compact","black"
2216,2003,"ford","focus","diesel",178000,"rebuilt","manual","fwd","compact","black"
5070,2003,"mini","cooper-s","gas",118000,"clean","manual","4wd","compact","black"
13656,2014,"skoda","octavia","gas",120000,"clean","manual","4wd","compact","black"
1291,1998,"audi","a4","gas",267105,"clean","manual","fwd","compact","black"
3145,2006,"seat","ibiza","gas",156000,"clean","manual","4wd","compact","black"
1772,2003,"ford","fiesta","gas",121000,"clean","manual","rwd","compact","black"
4330,2007,"skoda","fabia","gas",103858,"clean","manual","rwd","compact","black"
1406,2002,"skoda","fabia","gas",292200,"rebuilt","manual","fwd","compact","black"
207,2000,"skoda","octavia","gas",20000,"rebuilt","manual","fwd","compact","black"
7401,2009,"volvo","c30","diesel",72100,"clean","manual","4wd","compact","black"
2923,2002,"audi","a3","gas",116000,"clean","manual","rwd","compact","black"
7028,2007,"audi","a4","gas",220000,"rebuilt","manual","fwd","compact","black"
8874,2008,"audi","200","gas",171294,"clean","manual","4wd","compact","black"
4803,2005,"seat","altea","gas",165300,"clean","manual","4wd","compact","black"
25499,2008,"bmw","x5","gas",190000,"rebuilt","manual","fwd","compact","black"
3663,2003,"skoda","octavia","gas",232000,"rebuilt","manual","fwd","compact","black"
4403,2005,"ford","c-max","diesel",94525,"clean","manual","4wd","compact","black"
8697,2005,"audi","a6","gas",278000,"rebuilt","manual","fwd","compact","black"
4367,2008,"ford","fusion","gas",83000,"clean","manual","4wd","compact","black"
462,2005,"audi","a6","gas",327000,"clean","manual","fwd","compact","black"
1110,1994,"skoda","felicia","gas",65000,"clean","manual","4wd","compact","black"
9178,2007,"jeep","grand-cherokee","gas",124000,"clean","manual","rwd","compact","black"
1295,2001,"ford","fiesta","gas",181000,"clean","manual","rwd","compact","black"
4256,2004,"audi","a4","gas",320000,"clean","manual","rwd","compact","black"
3697,2005,"ford","focus","gas",145450,"clean","manual","rwd","compact","black"
2553,2001,"skoda","fabia","gas",175000,"clean","manual","rwd","compact","black"
17760,2007,"audi","s8","gas",186000,"clean","manual","rwd","compact","black"
22168,2008,"bmw","x6","gas",119000,"clean","manual","4wd","compact","black"
3145,2005,"ford","mondeo","diesel",171000,"clean","manual","rwd","compact","black"
5840,1660,"nissan","x-trail","gas",166000,"clean","manual","rwd","compact","black"
7949,1560,"ford","galaxy","gas",156000,"rebuilt","manual","fwd","compact","black"
14796,1670,"ford","galaxy","gas",167000,"clean","manual","4wd","compact","black"
4030,1970,"ford","galaxy","gas",197000,"clean","manual","4wd","compact","black"
2035,2002,"skoda","fabia","gas",184000,"clean","manual","fwd","compact","black"
6587,2011,"skoda","fabia","gas",53280,"clean","manual","fwd","compact","black"
462,2007,"ford","focus","diesel",134000,"clean","manual","rwd","compact","black"
5033,2007,"skoda","octavia","diesel",217000,"rebuilt","manual","fwd","compact","black"
8660,2007,"skoda","octavia","gas",80000,"clean","manual","rwd","compact","black"
2035,2004,"ford","focus","gas",152000,"rebuilt","manual","fwd","compact","black"
5470,2012,"skoda","fabia","diesel",172500,"clean","manual","rwd","compact","black"
1110,1998,"nissan","micra","gas",75000,"clean","manual","rwd","compact","black"
2202,2000,"skoda","fabia","gas",200,"clean","manual","4wd","compact","black"
21761,2010,"audi","a5","gas",127000,"clean","manual","rwd","compact","black"
12139,2007,"audi","s3","gas",157000,"rebuilt","manual","fwd","compact","black"
2886,2007,"ford","focus","gas",208000,"clean","manual","4wd","compact","black"
1424,1999,"smart","fortwo","gas",81000,"rebuilt","manual","fwd","compact","black"
847,2006,"nissan","patrol","gas",6163000,"rebuilt","manual","fwd","compact","black"
8844,2011,"ford","mondeo","diesel",175267,"clean","manual","4wd","compact","black"
2923,2009,"skoda","fabia","gas",155000,"rebuilt","manual","fwd","compact","black"
2809,2007,"hyundai","matrix","gas",7148000,"clean","manual","4wd","compact","black"
7031,2009,"ford","focus","gas",109580,"clean","manual","rwd","compact","black"
11310,2013,"skoda","yeti","diesel",137000,"rebuilt","manual","fwd","compact","black"
2590,2008,"hyundai","getz","gas",78700,"clean","manual","rwd","compact","black"
6106,2003,"bmw","x4","diesel",301000,"rebuilt","manual","fwd","compact","black"
2586,2007,"seat","cordoba","gas",215000,"clean","manual","rwd","compact","black"
2957,2004,"ford","c-max","diesel",180000,"clean","manual","4wd","compact","black"
1846,2006,"fiat","stilo","gas",215000,"clean","manual","4wd","compact","black"
5877,2011,"skoda","roomster","diesel",159100,"clean","manual","rwd","compact","black"
925,2000,"audi","q7","gas",2000,"clean","manual","4wd","compact","black"
1476,2003,"fiat","punto","diesel",155000,"rebuilt","manual","fwd","compact","black"
4774,2006,"skoda","octavia","gas",326115,"clean","manual","4wd","compact","black"
7031,2005,"nissan","pathfinder","diesel",226000,"clean","manual","4wd","compact","black"
4034,2007,"skoda","octavia","gas",310000,"clean","manual","4wd","compact","black"
1813,2000,"skoda","octavia","diesel",415000,"clean","manual","rwd","compact","black"
2775,2005,"skoda","fabia","gas",169000,"clean","manual","4wd","compact","black"
3663,2005,"skoda","fabia","gas",62000,"clean","manual","4wd","compact","black"
2923,2003,"skoda","octavia","gas",360000,"clean","manual","4wd","compact","black"
736,2000,"subaru","justy","gas",85000,"clean","manual","4wd","compact","black"
13286,2011,"skoda","superb","diesel",98392,"clean","manual","rwd","compact","black"
2405,2002,"skoda","fabia","gas",79000,"rebuilt","manual","fwd","compact","black"
3293,2002,"audi","200","gas",176080,"rebuilt","manual","fwd","compact","black"
4515,2006,"mazda","2","gas",6170000,"clean","manual","4wd","compact","black"
5107,2006,"audi","a4","diesel",243215,"rebuilt","manual","fwd","compact","black"
3330,2006,"volvo","v50","gas",100,"rebuilt","manual","fwd","compact","black"
5177,2007,"skoda","octavia","gas",183000,"clean","manual","4wd","compact","black"
5884,2007,"skoda","octavia","gas",7198000,"clean","manual","4wd","compact","black"
3515,1980,"skoda","octavia","gas",198000,"clean","manual","rwd","compact","black"
1443,2000,"seat","ibiza","gas",102000,"clean","manual","4wd","compact","black"
2775,2005,"skoda","fabia","gas",5124000,"clean","manual","4wd","compact","black"
6994,2007,"ford","transit","diesel",206000,"rebuilt","manual","fwd","compact","black"
2923,2001,"skoda","octavia","gas",243968,"clean","manual","rwd","compact","black"
2516,2006,"skoda","octavia","gas",286000,"clean","manual","rwd","compact","black"
666,2009,"opel","zafira","gas",147285,"clean","manual","4wd","compact","black"
462,2005,"seat","ibiza","gas",216,"rebuilt","manual","fwd","compact","black"
6846,2007,"audi","200","gas",253000,"rebuilt","manual","fwd","compact","black"
655,2009,"subaru","legacy","diesel",195000,"rebuilt","manual","fwd","compact","black"
2923,2008,"citroen","nemo","gas",222000,"clean","manual","4wd","compact","black"
2886,2008,"skoda","fabia","gas",132919,"clean","manual","4wd","compact","black"
2849,2005,"ford","c-max","diesel",172415,"clean","manual","4wd","compact","black"
3997,2005,"seat","altea","diesel",192655,"rebuilt","manual","fwd","compact","black"
4034,2006,"seat","leon","diesel",167198,"clean","manual","4wd","compact","black"
5695,2008,"skoda","octavia","gas",263000,"rebuilt","manual","fwd","compact","black"
8438,2007,"ford","galaxy","gas",194000,"rebuilt","manual","fwd","compact","black"
5514,2004,"mini","cooper","gas",124000,"clean","manual","4wd","compact","black"
3663,2000,"skoda","octavia","gas",221000,"clean","manual","rwd","compact","black"
7364,2011,"skoda","octavia","gas",193463,"clean","manual","rwd","compact","black"
10325,2012,"skoda","octavia","gas",154267,"clean","manual","4wd","compact","black"
884,2012,"skoda","octavia","gas",155052,"clean","manual","4wd","compact","black"
7364,2012,"skoda","fabia","gas",57254,"clean","manual","4wd","compact","black"
6994,2010,"skoda","fabia","gas",118823,"rebuilt","manual","fwd","compact","black"
4774,2008,"ford","focus","gas",136000,"clean","manual","rwd","compact","black"
2405,2000,"skoda","octavia","gas",205000,"clean","manual","4wd","compact","black"
2368,2002,"skoda","octavia","gas",150000,"clean","manual","rwd","compact","black"
4404,2004,"skoda","octavia","gas",4169000,"rebuilt","manual","fwd","compact","black"
25869,2014,"ford","galaxy","diesel",32000,"rebuilt","manual","fwd","compact","black"
1850,1992,"honda","legend","gas",198000,"rebuilt","manual","fwd","compact","black"
11065,2005,"bmw","x4","diesel",220000,"clean","manual","4wd","compact","black"
2216,2001,"ford","focus","gas",160000,"clean","manual","4wd","compact","black"
3327,2005,"ford","c-max","diesel",139000,"clean","manual","rwd","compact","black"
